@relation 'corral-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 1 -N 3 -I -K 7 -T 0'

@attribute index2 {0,1}
@attribute index5 {0,1}
@attribute class {0,1}

@data

0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
1,0,1
1,1,1
1,0,1
1,1,1
1,0,0
1,1,0
1,0,0
1,1,0
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
1,0,1
1,1,1
1,0,1
1,1,1
1,0,0
1,1,0
1,0,0
1,1,0
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
1,0,1
1,1,1
1,0,1
1,1,1
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
