@relation 09080958_FCFS_corral-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last

@attribute index0 {0,1}
@attribute index1 {0,1}
@attribute index2 {0,1}
@attribute index3 {0,1}
@attribute index5 {0,1}
@attribute class {0,1}

@data

0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,0,1,1,1,0
0,0,1,1,1,0
0,1,0,0,0,1
0,1,0,0,0,1
0,1,0,1,0,1
0,1,0,1,0,1
0,1,1,0,0,1
0,1,1,0,0,1
0,1,1,1,1,0
0,1,1,1,1,0
1,0,0,0,0,1
1,0,0,0,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,1,1,1,0
1,0,1,1,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,1,1,0
1,1,0,1,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,1,0,1
0,0,1,0,0,1
0,0,1,0,0,1
0,0,1,1,1,0
0,0,1,1,1,0
0,1,0,0,0,1
0,1,0,0,0,1
0,1,0,1,0,1
0,1,0,1,0,1
0,1,1,0,0,1
0,1,1,0,0,1
0,1,1,1,1,0
0,1,1,1,1,0
1,0,0,0,0,1
1,0,0,0,0,1
1,0,0,1,0,1
1,0,0,1,0,1
1,0,1,0,0,1
1,0,1,0,0,1
1,0,1,1,1,0
1,0,1,1,1,0
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,1,1,0
1,1,0,1,1,0
1,1,1,0,1,0
1,1,1,0,1,0
1,1,1,1,1,0
1,1,1,1,1,0
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,0,0,1
0,0,0,0,1,1
0,0,0,1,0,1
0,0,0,1,1,1
0,0,0,1,0,1
0,0,0,1,1,1
0,0,1,0,0,1
0,0,1,0,1,1
0,0,1,0,0,1
0,0,1,0,1,1
0,0,1,1,0,0
0,0,1,1,1,0
0,0,1,1,0,0
0,0,1,1,1,0
0,1,0,0,0,1
0,1,0,0,1,1
0,1,0,0,0,1
0,1,0,0,1,1
0,1,0,1,0,1
0,1,0,1,1,1
0,1,0,1,0,1
0,1,0,1,1,1
0,1,1,0,0,1
0,1,1,0,1,1
0,1,1,0,0,1
0,1,1,0,1,1
0,1,1,1,0,0
0,1,1,1,1,0
0,1,1,1,0,0
0,1,1,1,1,0
1,0,0,0,0,1
1,0,0,0,1,1
1,0,0,0,0,1
1,0,0,0,1,1
1,0,0,1,0,1
1,0,0,1,1,1
1,0,0,1,0,1
1,0,0,1,1,1
1,0,1,0,0,1
1,0,1,0,1,1
1,0,1,0,0,1
1,0,1,0,1,1
1,0,1,1,0,0
1,0,1,1,1,0
1,0,1,1,0,0
1,0,1,1,1,0
1,1,0,0,0,0
1,1,0,0,1,0
1,1,0,0,0,0
1,1,0,0,1,0
1,1,0,1,0,0
1,1,0,1,1,0
1,1,0,1,0,0
1,1,0,1,1,0
1,1,1,0,0,0
1,1,1,0,1,0
1,1,1,0,0,0
1,1,1,0,1,0
1,1,1,1,0,0
1,1,1,1,1,0
1,1,1,1,0,0
1,1,1,1,1,0
