@relation 'corral-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.GeneticSearch -Z 200 -G 600 -C 0.6 -M 0.01 -R 600 -S 1'

@attribute index2 {0,1}
@attribute index5 {0,1}
@attribute class {0,1}

@data

0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,0,1
0,0,1
0,0,1
0,0,1
1,0,1
1,0,1
1,1,0
1,1,0
0,1,0
0,1,0
0,1,0
0,1,0
1,1,0
1,1,0
1,1,0
1,1,0
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
1,0,1
1,1,1
1,0,1
1,1,1
1,0,0
1,1,0
1,0,0
1,1,0
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
1,0,1
1,1,1
1,0,1
1,1,1
1,0,0
1,1,0
1,0,0
1,1,0
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
0,0,1
0,1,1
1,0,1
1,1,1
1,0,1
1,1,1
1,0,0
1,1,0
1,0,0
1,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
0,0,0
0,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
1,0,0
1,1,0
